label,device_name,num_samples,num_files,window_acc,file_acc
0,Device1,256,1,0.0546875,0.0
1,Device2,256,1,0.63671875,1.0
2,Device3,256,1,0.5703125,1.0
3,Device4,256,1,0.640625,1.0
4,Device5,256,1,0.5703125,1.0
5,Device6,256,1,0.62109375,1.0
6,Device7,256,1,0.65625,1.0
7,Device8,256,1,0.52734375,1.0
8,Device9,256,1,0.55078125,1.0
9,Device10,256,1,0.27734375,1.0
10,Device11,256,1,0.3984375,1.0
11,Device12,256,1,0.66015625,1.0
12,Device13,256,1,0.38671875,1.0
13,Device14,256,1,0.484375,1.0
14,Device15,256,1,0.37890625,1.0
15,Device16,256,1,0.1953125,0.0
16,Device17,256,1,0.48828125,1.0
17,Device18,256,1,0.484375,1.0
18,Device19,256,1,0.30078125,0.0
19,Device20,256,1,0.4921875,1.0
20,Device21,256,1,0.40234375,0.0
21,Device22,256,1,0.6484375,1.0
22,Device23,256,1,0.67578125,1.0
23,Device24,256,1,0.421875,1.0
